vin,make,model,year,color,mileage,license_plate
1HGBH41JXMN109186,Toyota,Camry,2022,Silver,15420,ABC-1234
1FADP3K29EL234567,Ford,F-150,2021,Blue,28900,XYZ-5678
JM1BL1SA8A1234567,Mazda,CX-5,2020,Red,34500,DEF-9012
2HGFC2F59MH567890,Honda,Civic,2023,White,8200,GHI-3456
1C4RJFAG3EC789012,Jeep,Grand Cherokee,2019,Black,45600,JKL-7890
5NPD84LF8LH345678,Hyundai,Elantra,2021,Gray,22100,MNO-2345
3VW267AJ4HM901234,Volkswagen,Jetta,2018,Silver,52300,PQR-6789
1G1BE5SM3H7456789,Chevrolet,Malibu,2022,Red,12800,STU-0123
WBAPH7G59BNK12345,BMW,3 Series,2020,Black,31200,VWX-4567
WA1L2AFP8FA567890,Audi,Q5,2019,White,38900,YZA-8901
4T1BF1FK8FU234567,Toyota,Corolla,2021,Blue,19500,BCD-2345
19UUB3F79MA890123,Acura,TLX,2022,Gray,14200,EFG-6789
1FA6P8TH3K5456789,Ford,Mustang,2020,Red,27400,HIJ-0123
JTHBF1D28G5012345,Lexus,ES 350,2019,Pearl,33800,KLM-4567
1N4AL3AP8JC678901,Nissan,Altima,2021,Silver,21600,NOP-8901
2C4RC1BG8LR234567,Chrysler,Pacifica,2020,White,29300,QRS-2345
KL4CJCSB4MB890123,Chevrolet,Equinox,2022,Blue,16700,TUV-6789
5TDKZ3DC7LS456789,Toyota,Highlander,2021,Gray,24100,WXY-0123
3CZRU6H33MM012345,Honda,Odyssey,2019,Red,41200,ZAB-4567
1G1ZD5ST8MF678901,Chevrolet,Camaro,2023,Black,5800,CDE-8901
